res;kingdom;phylum
-2,90292287717175;Animalia;Arthropoda
-3,13931165523598;Animalia;Arthropoda
-1,73164675858565;Animalia;Arthropoda
-1,0266651203787;Animalia;Arthropoda
-2,2097756966118;Animalia;Arthropoda
-2,17347951086469;Animalia;Arthropoda
-2,83638323377658;Animalia;Arthropoda
-0,98068000713688;Animalia;Arthropoda
3,09607898236874;Animalia;Arthropoda
-0,824925477727647;Animalia;Arthropoda
-3,66608926807935;Animalia;Arthropoda
-3,10652183241298;Animalia;Arthropoda
-2,22302092336182;Animalia;Arthropoda
-3,01414851228197;Animalia;Arthropoda
-0,617286112949403;Animalia;Arthropoda
-1,00340825821444;Animalia;Arthropoda
-2,80283941861476;Animalia;Arthropoda
-1,27966163484259;Animalia;Arthropoda
-0,793796784485895;Animalia;Arthropoda
-3,0747731340984;Animalia;Arthropoda
-2,17347951086469;Animalia;Arthropoda
-1,19265025785296;Animalia;Arthropoda
-2,21121983884754;Animalia;Arthropoda
-0,358201791240571;Animalia;Arthropoda
-2,33382216093987;Animalia;Arthropoda
-1,70811626117546;Animalia;Arthropoda
-0,406721343842053;Animalia;Arthropoda
-1,17885693572063;Animalia;Arthropoda
-2,30640253230087;Animalia;Arthropoda
-1,46198319163655;Animalia;Arthropoda
-0,991979562390813;Animalia;Arthropoda
-1,88654868674061;Animalia;Arthropoda
-3,74050068601935;Animalia;Arthropoda
-0,796487542407114;Animalia;Arthropoda
-1,24980867169291;Animalia;Arthropoda
-2,16990430029879;Animalia;Arthropoda
-1,19265025785296;Animalia;Arthropoda
-1,72469886354111;Animalia;Arthropoda
-2,1831073163005;Animalia;Arthropoda
-3,50082783275393;Animalia;Arthropoda
-2,85162958278419;Animalia;Arthropoda
-0,864146190880928;Animalia;Arthropoda
-0,724384248505769;Animalia;Arthropoda
-0,936716883715763;Animalia;Arthropoda
-0,991979562390813;Animalia;Arthropoda
-1,03849957802571;Animalia;Arthropoda
-1,00340825821444;Animalia;Arthropoda
-3,45281861356757;Animalia;Arthropoda
-0,95845687035217;Animalia;Arthropoda
-0,85419586002776;Animalia;Arthropoda
-1,12551095501534;Animalia;Arthropoda
-0,824925477727647;Animalia;Arthropoda
-1,05047576907242;Animalia;Arthropoda
-1,94538918676354;Animalia;Arthropoda
-1,15182826333271;Animalia;Arthropoda
-1,32618165047749;Animalia;Arthropoda
-1,84916115466899;Animalia;Arthropoda
-0,103340361847168;Animalia;Arthropoda
-1,15182826333271;Animalia;Arthropoda
-1,53749074414469;Animalia;Arthropoda
-1,07486722219658;Animalia;Arthropoda
-2,03532917238387;Animalia;Arthropoda
-1,35844251269571;Animalia;Arthropoda
-1,75574431016471;Animalia;Arthropoda
-3,0747731340984;Animalia;Arthropoda
-1,20608117426289;Animalia;Arthropoda
-0,513489319267759;Animalia;Arthropoda
-1,12551095501534;Animalia;Arthropoda
-4,08302201574913;Animalia;Arthropoda
-2,6361030328128;Animalia;Arthropoda
-2,21121983884754;Animalia;Arthropoda
-1,80575473073937;Animalia;Arthropoda
-0,254380619260034;Animalia;Arthropoda
-1,48033233030475;Animalia;Arthropoda
-1,64067498037992;Animalia;Arthropoda
-2,10202054688254;Animalia;Arthropoda
-6,54050903689813;Animalia;Arthropoda
-1,2066364998277;Animalia;Arthropoda
-1,53749074414469;Animalia;Arthropoda
-2,49745776906358;Animalia;Arthropoda
-2,36612176700249;Animalia;Arthropoda
-1,19265025785296;Animalia;Arthropoda
-0,344064909103611;Animalia;Arthropoda
-2,74827596626631;Animalia;Brachiopoda
-4,4213682237201;Animalia;Brachiopoda
-2,25004959574974;Animalia;Bryozoa
-0,936716883715763;Animalia;Bryozoa
-1,03849957802571;Animalia;Bryozoa
-2,9476088688868;Animalia;Bryozoa
-2,41337465185304;Animalia;Bryozoa
-1,46198319163655;Animalia;Bryozoa
-1,2066364998277;Animalia;Bryozoa
-0,609503972507348;Animalia;Bryozoa
-1,17885693572063;Animalia;Bryozoa
-1,26462375747805;Animalia;Bryozoa
-2,54214376077864;Animalia;Bryozoa
-1,53749074414469;Animalia;Bryozoa
-1,26462375747805;Animalia;Bryozoa
-1,51807265828759;Animalia;Bryozoa
-0,759786175556686;Animalia;Bryozoa
-1,23520987227176;Animalia;Bryozoa
-2,47576869183376;Animalia;Chaetognatha
-1,68512674295076;Animalia;Chaetognatha
-0,622207812006394;Animalia;Chordata
-1,27040003229013;Animalia;Chordata
1,26646363737331;Animalia;Chordata
1,1071531921792;Animalia;Chordata
-3,55876560661297;Animalia;Chordata
0,511856138134408;Animalia;Chordata
1,21654457019934;Animalia;Chordata
1,21529535079891;Animalia;Chordata
0,919245028676611;Animalia;Chordata
1,40797969462841;Animalia;Chordata
2,80860388130312;Animalia;Chordata
5,10996871789194;Animalia;Chordata
2,40313877319496;Animalia;Chordata
0,394314798729077;Animalia;Chordata
-0,864146190880928;Animalia;Chordata
0,391469846596846;Animalia;Chordata
-0,536621969791592;Animalia;Chordata
0,642150962633659;Animalia;Chordata
-0,654405005447975;Animalia;Chordata
-1,69124749649003;Animalia;Chordata
-0,819270271967355;Animalia;Chordata
2,61277690130936;Animalia;Chordata
1,42737795475369;Animalia;Chordata
0,908832893939421;Animalia;Chordata
1,07026957874865;Animalia;Chordata
-0,777144957216986;Animalia;Chordata
0,92092429019633;Animalia;Chordata
0,457609649101391;Animalia;Chordata
0,0661411493000843;Animalia;Chordata
-1,97834756379157;Animalia;Chordata
-1,30994515824327;Animalia;Chordata
0,409659364368583;Animalia;Chordata
1,75689263323165;Animalia;Chordata
0,845529153316313;Animalia;Chordata
0,554131216092014;Animalia;Chordata
-0,723397876934927;Animalia;Chordata
1,94525650448157;Animalia;Chordata
0,147454720797552;Animalia;Chordata
0,161895404952346;Animalia;Chordata
1,38080978927648;Animalia;Chordata
0,087733235328443;Animalia;Chordata
-1,11260755017943;Animalia;Chordata
-1,61916877515896;Animalia;Chordata
-2,12166842910153;Animalia;Chordata
-2,18380021020854;Animalia;Chordata
-1,29492910697338;Animalia;Chordata
0,24767092871971;Animalia;Chordata
3,09970996318723;Animalia;Chordata
3,21525079123104;Animalia;Chordata
4,51888597120253;Animalia;Chordata
3,75186501828504;Animalia;Chordata
4,44222108329248;Animalia;Chordata
2,0527188407941;Animalia;Chordata
1,83558131354011;Animalia;Chordata
-1,91121114381196;Animalia;Chordata
-1,42159307209433;Animalia;Chordata
-1,45458973373271;Animalia;Chordata
0,0498293977490096;Animalia;Chordata
2,5056705022849;Animalia;Chordata
0,423052763802694;Animalia;Chordata
1,3303248587231;Animalia;Chordata
1,76691931054885;Animalia;Chordata
-2,39539661220452;Animalia;Chordata
-0,0821809122507293;Animalia;Chordata
0,596671927806469;Animalia;Chordata
1,46822831438829;Animalia;Chordata
1,17560001939326;Animalia;Chordata
1,82407315302672;Animalia;Chordata
2,75604876359968;Animalia;Chordata
-1,71317377651563;Animalia;Chordata
1,04460163340681;Animalia;Chordata
-0,0771434131558326;Animalia;Chordata
-1,36148969430186;Animalia;Chordata
-3,73361959385712;Animalia;Chordata
1,25892903409271;Animalia;Chordata
-1,58459357564365;Animalia;Chordata
1,23876770698405;Animalia;Chordata
-1,30947015369386;Animalia;Chordata
-0,131379275684839;Animalia;Chordata
-2,49745776906358;Animalia;Chordata
-1,37497181464692;Animalia;Cnidaria
-1,00574947855772;Animalia;Cnidaria
-2,48498534693869;Animalia;Cnidaria
-0,884348898198447;Animalia;Cnidaria
-1,099868524402;Animalia;Cnidaria
-4,02218706722022;Animalia;Cnidaria
